Word	Label
[unused66]	latin
[unused69]	latin
[unused95]	latin
[SEP]	latin
9	latin
?	latin
«	latin
·	latin
ؒ	arabic
ج	arabic
و	arabic
َ	arabic
ُ	arabic
ٿ	arabic
ۆ	arabic
۴	arabic
গ	ben_ass
ছ	ben_ass
ঠ	ben_ass
ਐ	punjabi
ਘ	punjabi
ਝ	punjabi
ਭ	punjabi
਼	punjabi
ਜ਼	punjabi
੩	punjabi
੫	punjabi
੮	punjabi
੯	punjabi
ઉ	gujarati
ઋ	gujarati
ઍ	gujarati
ઔ	gujarati
ચ	gujarati
ઢ	gujarati
ધ	gujarati
ફ	gujarati
ય	gujarati
સ	gujarati
હ	gujarati
ી	gujarati
ુ	gujarati
ૉ	gujarati
ો	gujarati
૤	gujarati
૩	gujarati
૯	gujarati
எ	tamil
வ	tamil
ஹ	tamil
ః	telugu
ఇ	telugu
ఐ	telugu
ఛ	telugu
ఢ	telugu
ష	telugu
ౌ	telugu
్	telugu
ಅ	kannada
ಋ	kannada
ಖ	kannada
ಚ	kannada
ಜ	kannada
ಷ	kannada
಼	kannada
ೀ	kannada
ೆ	kannada
ೊ	kannada
೧	kannada
೭	kannada
ഋ	malayalam
ഒ	malayalam
ഠ	malayalam
ഫ	malayalam
ﺳ	arabic
ﻧ	arabic
ﻫ	arabic
ﻭ	arabic
کی	arabic
અને	gujarati
করে	ben_ass
ਹਨ	punjabi
இந்த	tamil
హెక్టార్లు	telugu
ਸ਼੍ਰੇਣੀ	punjabi
can	latin
ਇਹ	punjabi
না	ben_ass
20	latin
આવે	gujarati
زمرو	arabic
ਕਿ	punjabi
உள்ள	tamil
वह	deva
ٿي	arabic
two	latin
पूर्व	deva
گیا	arabic
بن	arabic
ప్రైవేటు	telugu
જે	gujarati
only	latin
દેશના	gujarati
my	latin
طور	arabic
असे	deva
خان	arabic
لاءِ	arabic
ਦੀਆਂ	punjabi
ગામના	gujarati
આંગણવાડી	gujarati
being	latin
ਪਿੰਡ	punjabi
लोग	deva
ತಮ್ಮ	kannada
ਆਪਣੇ	punjabi
ఇతర	telugu
പി	malayalam
కోడ్	telugu
ਤੌਰ	punjabi
కంటే	telugu
ఫోన్	telugu
మూలాలు	telugu
રીતે	gujarati
సినిమా	telugu
ఆసుపత్రి	telugu
شامل	arabic
തന്നെ	malayalam
ఆఫీసు	telugu
యొక్క	telugu
ले	deva
کرتے	arabic
వాణిజ్య	telugu
just	latin
তা	ben_ass
ఉన్నారు	telugu
کسی	arabic
असून	deva
দলের	ben_ass
రోడ్లు	telugu
வரலாறு	tamil
ਦਿੱਤਾ	punjabi
உள்ளன	tamil
ईसा	deva
નથી	gujarati
করেছে	ben_ass
پاڪستان	arabic
ਉਸਨੇ	punjabi
long	latin
هي	arabic
ಮೊದಲ	kannada
లు	telugu
1997	latin
कमी	deva
ਕੰਮ	punjabi
బావులు	telugu
అందుతుంది	telugu
ਵਾਲੇ	punjabi
கட்டுரைகள்	tamil
एका	deva
സ്	malayalam
ایران	arabic
tak	latin
language	latin
భూ	telugu
অব	ben_ass
परिवार	deva
صدر	arabic
per	latin
कंपनी	deva
بھارتی	arabic
સૌરાષ્ટ્ર	gujarati
பட்டியல்	tamil
హెక్టార్లలో	telugu
അമേരിക്കൻ	malayalam
ప్రవహిస్తుంది	telugu
তখন	ben_ass
خود	arabic
ਹੋਈ	punjabi
কে	ben_ass
نظر	arabic
২০১১	ben_ass
విస్తరించి	telugu
లైన్	telugu
महत्वपूर्ण	deva
நான்	tamil
ప్రాథమికోన్నత	telugu
పౌర	telugu
